name;age;position;minutes_played;nationality;goals;assists;conceded;overall;attack;defense;club
Jonjoe Kenny;22;Defender;790;England;0;1;14;43;54;58;Everton
Tom Davies;21;Midfielder;975;England;0;0;18;42;54;49;Everton
Adama Traoré;23;Midfielder;890;Spain;1;1;11;42;56;50;Wolverhampton Wanderers
Timothy Fosu-Mensah;21;Defender;795;Netherlands;0;0;18;42;53;57;Fulham
Laurent Depoitre;30;Forward;1059;Belgium;0;1;22;41;56;40;Huddersfield Town
Luciano Vietto;25;Forward;983;Argentina;1;4;21;41;59;39;Fulham
Charlie Austin;30;Forward;980;England;2;2;14;41;58;40;Southampton
Isaac Success;23;Forward;1037;Nigeria;1;1;20;41;57;40;Watford
Alireza Jahanbakhsh;26;Forward;1022;Iran;0;0;16;41;55;40;Brighton & Hove Albion
Alvaro Morata;27;Forward;943;Spain;5;0;11;41;59;40;Chelsea
Scott McTominay;22;Midfielder;861;England;2;0;17;41;56;48;Manchester United
Morgan Schneiderlin;29;Midfielder;833;France;0;1;9;41;55;49;Everton
Ruben Vinagre;20;Defender;703;Portugal;0;0;9;41;53;57;Wolverhampton Wanderers
Scott Dann;32;Defender;660;England;0;1;7;41;54;57;Crystal Palace
Jon Gorenc Stankovič;23;Defender;718;Slovenia;1;0;19;41;54;56;Huddersfield Town
Emerson Palmieri;25;Defender;660;Italy;0;0;10;41;53;57;Chelsea
Isaac Mbenza;23;Forward;981;Belgium;1;1;25;40;56;38;Huddersfield Town
Oumar Niasse;29;Forward;998;Senegal;0;0;12;40;54;41;Cardiff City
Kelechi Iheanacho;23;Forward;926;Nigeria;1;3;11;40;58;40;Leicester City
Sam Vokes;30;Forward;913;Wales;3;0;18;40;57;39;Burnley
Olivier Giroud;33;Forward;832;France;2;4;4;40;60;40;Chelsea
Alexis Sanchez;30;Forward;877;Chile;1;3;8;40;58;40;Manchester United
Kevin McDonald;30;Midfielder;842;Scotland;0;0;25;40;54;46;Fulham
Ken Sema;26;Midfielder;755;Sweden;1;2;8;40;56;48;Watford
Jordon Ibe;23;Midfielder;795;England;1;1;21;40;55;46;AFC Bournemouth
Mohamed Elyounoussi;25;Midfielder;790;Norway;0;0;8;40;53;49;Southampton
Andreas Christensen;23;Defender;615;Denmark;0;0;7;40;53;57;Chelsea
Eric Bailly;25;Defender;637;Ivory Coast;0;0;12;40;53;56;Manchester United
Greg Cunningham;28;Defender;630;Republic of Ireland;0;0;16;40;53;55;Cardiff City
Karlan Ahearne-Grant;21;Forward;874;England;4;0;22;39;58;37;Huddersfield Town
Florin Andone;26;Forward;874;Romania;3;0;13;39;57;39;Brighton & Hove Albion
Marouane Fellaini;31;Midfielder;744;Belgium;0;1;13;39;54;47;Manchester United
Miguel Almirón;25;Midfielder;763;Paraguay;0;0;10;39;53;48;Newcastle United
Fabian Delph;29;Midfielder;725;England;0;1;9;39;54;48;Manchester City
Manuel Lanzini;26;Midfielder;688;Argentina;1;1;11;39;55;47;West Ham United
Robbie Brady;27;Midfielder;715;Republic of Ireland;0;1;12;39;54;47;Burnley
Lewis Cook;22;Midfielder;721;England;0;0;10;39;53;48;AFC Bournemouth
